month,year,department,cost_center,budget_revenue,actual_revenue,forecast_revenue,budget_expense,actual_expense,forecast_expense																																																																																																																																																																																																																																																																																																																																																								Column344	Column345	Column346	Column347	Column348	Column349	Column350	Column351
Apr,	2024,	G&A,	Finance,	0,	0,	0,	109000,	114000,	112000																																																																																																																																																																																																																																																																																																																																																															
Apr,	2024,	G&A,	Legal,	0,	0,	0,	78000,	81000,	79000																																																																																																																																																																																																																																																																																																																																																															
																																																																																																																																																																																																																																																																																																																																																																								
May,	2024,	Sales,	Field Sales,	600000,	612000,	610000,	235000,	245000,	240000																																																																																																																																																																																																																																																																																																																																																															
May,	2024,	Sales,	Inside Sales,	450000,	455000,	455000,	152000,	157000,	154000																																																																																																																																																																																																																																																																																																																																																															
May,	2024,	Sales,	Sales Ops,	126000,	128000,	127000,	76000,	80000,	78000																																																																																																																																																																																																																																																																																																																																																															
May,	2024,	Marketing,	Digital,	230000,	238000,	235000,	170000,	178000,	173000																																																																																																																																																																																																																																																																																																																																																															
May,	2024,	Marketing,	Events,	104000,	106000,	105000,	118000,	124000,	121000																																																																																																																																																																																																																																																																																																																																																															
May,	2024,	Marketing,	Brand,	84000,	85000,	84500,	90000,	94000,	92000																																																																																																																																																																																																																																																																																																																																																															
May,	2024,	Customer Success,	Support,	150000,	152000,	151000,	106000,	112000,	109000																																																																																																																																																																																																																																																																																																																																																															
May,	2024,	Customer Success,	Onboarding,	126000,	128000,	127000,	100000,	104000,	102000																																																																																																																																																																																																																																																																																																																																																															
May,	2024,	Product,	Product Management,	0,	0,	0,	185000,	193000,	189000																																																																																																																																																																																																																																																																																																																																																															
May,	2024,	Product,	UX,	0,	0,	0,	118000,	124000,	121000																																																																																																																																																																																																																																																																																																																																																															
May,	2024,	Engineering,	Backend,	0,	0,	0,	270000,	283000,	277000																																																																																																																																																																																																																																																																																																																																																															
May,	2024,	Engineering,	Frontend,	0,	0,	0,	225000,	235000,	230000																																																																																																																																																																																																																																																																																																																																																															
May,	2024,	Engineering,	DevOps,	0,	0,	0,	205000,	215000,	210000																																																																																																																																																																																																																																																																																																																																																															
May,	2024,	G&A,	HR,	0,	0,	0,	94000,	99000,	96000																																																																																																																																																																																																																																																																																																																																																															
May,	2024,	G&A,	Finance,	0,	0,	0,	110000,	115000,	113000																																																																																																																																																																																																																																																																																																																																																															
May,	2024,	G&A,	Legal,	0,	0,	0,	79000,	82000,	80000																																																																																																																																																																																																																																																																																																																																																															
																																																																																																																																																																																																																																																																																																																																																																								
Jun,	2024,	Sales,	Field Sales,	610000,	600000,	620000,	238000,	248000,	243000																																																																																																																																																																																																																																																																																																																																																															
Jun,	2024,	Sales,	Inside Sales,	455000,	450000,	460000,	153000,	158000,	155000																																																																																																																																																																																																																																																																																																																																																															
Jun,	2024,	Sales,	Sales Ops,	128000,	126000,	129000,	77000,	81000,	79000																																																																																																																																																																																																																																																																																																																																																															
Jun,	2024,	Marketing,	Digital,	232000,	230000,	238000,	172000,	180000,	175000																																																																																																																																																																																																																																																																																																																																																															
Jun,	2024,	Marketing,	Events,	105000,	103000,	106000,	119000,	125000,	122000																																																																																																																																																																																																																																																																																																																																																															
Jun,	2024,	Marketing,	Brand,	85000,	84000,	86000,	91000,	95000,	93000																																																																																																																																																																																																																																																																																																																																																															
Jun,	2024,	Customer Success,	Support,	152000,	150000,	153000,	107000,	113000,	110000																																																																																																																																																																																																																																																																																																																																																															
Jun,	2024,	Customer Success,	Onboarding,	128000,	126000,	129000,	101000,	105000,	103000																																																																																																																																																																																																																																																																																																																																																															
Jun,	2024,	Product,	Product Management,	0,	0,	0,	188000,	196000,	192000																																																																																																																																																																																																																																																																																																																																																															
Jun,	2024,	Product,	UX,	0,	0,	0,	119000,	125000,	122000																																																																																																																																																																																																																																																																																																																																																															
Jun,	2024,	Engineering,	Backend,	0,	0,	0,	272000,	285000,	279000																																																																																																																																																																																																																																																																																																																																																															
Jun,	2024,	Engineering,	Frontend,	0,	0,	0,	227000,	237000,	232000																																																																																																																																																																																																																																																																																																																																																															
Jun,	2024,	Engineering,	DevOps,	0,	0,	0,	207000,	217000,	212000																																																																																																																																																																																																																																																																																																																																																															
Jun,	2024,	G&A,	HR,	0,	0,	0,	95000,	100000,	97000																																																																																																																																																																																																																																																																																																																																																															
Jun,	2024,	G&A,	Finance,	0,	0,	0,	111000,	116000,	114000																																																																																																																																																																																																																																																																																																																																																															
Jun,	2024,	G&A,	Legal,	0,	0,	0,	80000,	83000,	81000																																																																																																																																																																																																																																																																																																																																																															
																																																																																																																																																																																																																																																																																																																																																																								
Jul,	2024,	Sales,	Field Sales,	620000,	635000,	630000,	240000,	250000,	245000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2024,	Sales,	Inside Sales,	460000,	470000,	468000,	155000,	160000,	157000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2024,	Sales,	Sales Ops,	130000,	132000,	131000,	78000,	82000,	80000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2024,	Marketing,	Digital,	235000,	240000,	242000,	175000,	183000,	178000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2024,	Marketing,	Events,	107000,	109000,	108000,	121000,	127000,	124000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2024,	Marketing,	Brand,	86000,	87000,	86500,	92000,	96000,	94000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2024,	Customer Success,	Support,	155000,	158000,	157000,	108000,	114000,	111000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2024,	Customer Success,	Onboarding,	130000,	132000,	131000,	102000,	106000,	104000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2024,	Product,	Product Management,	0,	0,	0,	190000,	198000,	194000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2024,	Product,	UX,	0,	0,	0,	121000,	127000,	124000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2024,	Engineering,	Backend,	0,	0,	0,	275000,	288000,	282000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2024,	Engineering,	Frontend,	0,	0,	0,	230000,	240000,	235000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2024,	Engineering,	DevOps,	0,	0,	0,	210000,	220000,	215000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2024,	G&A,	HR,	0,	0,	0,	96000,	101000,	99000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2024,	G&A,	Finance,	0,	0,	0,	112000,	117000,	115000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2024,	G&A,	Legal,	0,	0,	0,	81000,	84000,	82000																																																																																																																																																																																																																																																																																																																																																															
																																																																																																																																																																																																																																																																																																																																																																								
Aug,	2024,	Sales,	Field Sales,	630000,	620000,	640000,	243000,	253000,	248000																																																																																																																																																																																																																																																																																																																																																															
Aug,	2024,	Sales,	Inside Sales,	465000,	460000,	470000,	157000,	162000,	159000																																																																																																																																																																																																																																																																																																																																																															
Aug,	2024,	Sales,	Sales Ops,	132000,	130000,	133000,	79000,	83000,	81000																																																																																																																																																																																																																																																																																																																																																															
Aug,	2024,	Marketing,	Digital,	238000,	236000,	244000,	177000,	185000,	180000																																																																																																																																																																																																																																																																																																																																																															
Aug,	2024,	Marketing,	Events,	108000,	106000,	109000,	122000,	128000,	125000																																																																																																																																																																																																																																																																																																																																																															
Aug,	2024,	Marketing,	Brand,	87000,	86000,	88000,	93000,	97000,	95000																																																																																																																																																																																																																																																																																																																																																															
Aug,	2024,	Customer Success,	Support,	157000,	155000,	158000,	109000,	115000,	112000																																																																																																																																																																																																																																																																																																																																																															
Aug,	2024,	Customer Success,	Onboarding,	132000,	130000,	133000,	103000,	107000,	105000																																																																																																																																																																																																																																																																																																																																																															
Aug,	2024,	Product,	Product Management,	0,	0,	0,	192000,	200000,	196000																																																																																																																																																																																																																																																																																																																																																															
Aug,	2024,	Product,	UX,	0,	0,	0,	122000,	128000,	125000																																																																																																																																																																																																																																																																																																																																																															
Aug,	2024,	Engineering,	Backend,	0,	0,	0,	278000,	290000,	284000																																																																																																																																																																																																																																																																																																																																																															
Aug,	2024,	Engineering,	Frontend,	0,	0,	0,	232000,	242000,	237000																																																																																																																																																																																																																																																																																																																																																															
Aug,	2024,	Engineering,	DevOps,	0,	0,	0,	212000,	222000,	217000																																																																																																																																																																																																																																																																																																																																																															
Aug,	2024,	G&A,	HR,	0,	0,	0,	97000,	102000,	100000																																																																																																																																																																																																																																																																																																																																																															
Aug,	2024,	G&A,	Finance,	0,	0,	0,	113000,	118000,	116000																																																																																																																																																																																																																																																																																																																																																															
Aug,	2024,	G&A,	Legal,	0,	0,	0,	82000,	85000,	83000																																																																																																																																																																																																																																																																																																																																																															
																																																																																																																																																																																																																																																																																																																																																																								
Sep,	2024,	Sales,	Field Sales,	640000,	655000,	650000,	245000,	255000,	250000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2024,	Sales,	Inside Sales,	470000,	480000,	478000,	158000,	163000,	160000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2024,	Sales,	Sales Ops,	134000,	136000,	135000,	80000,	84000,	82000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2024,	Marketing,	Digital,	240000,	245000,	247000,	178000,	186000,	181000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2024,	Marketing,	Events,	110000,	112000,	111000,	123000,	129000,	126000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2024,	Marketing,	Brand,	88000,	89000,	88500,	94000,	98000,	96000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2024,	Customer Success,	Support,	160000,	162000,	161000,	110000,	116000,	113000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2024,	Customer Success,	Onboarding,	134000,	136000,	135000,	104000,	108000,	106000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2024,	Product,	Product Management,	0,	0,	0,	195000,	203000,	199000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2024,	Product,	UX,	0,	0,	0,	124000,	130000,	127000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2024,	Engineering,	Backend,	0,	0,	0,	280000,	293000,	287000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2024,	Engineering,	Frontend,	0,	0,	0,	235000,	245000,	240000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2024,	Engineering,	DevOps,	0,	0,	0,	215000,	225000,	220000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2024,	G&A,	HR,	0,	0,	0,	98000,	103000,	101000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2024,	G&A,	Finance,	0,	0,	0,	114000,	119000,	117000																																																																																																																																																																																																																																																																																																																																																															
Sep,	2024,	G&A,	Legal,	0,	0,	0,	83000,	86000,	84000																																																																																																																																																																																																																																																																																																																																																															
																																																																																																																																																																																																																																																																																																																																																																								
Jan,	2025,	Sales,	Field Sales,	650000,	642000,	660000,	250000,	262000,	255000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2025,	Sales,	Inside Sales,	480000,	472000,	485000,	165000,	170000,	167000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2025,	Sales,	Sales Ops,	140000,	138000,	142000,	82000,	86000,	84000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2025,	Marketing,	Digital,	260000,	268000,	265000,	190000,	198000,	193000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2025,	Marketing,	Events,	120000,	118000,	122000,	135000,	142000,	138000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2025,	Marketing,	Brand,	95000,	93000,	96000,	100000,	104000,	102000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2025,	Customer Success,	Support,	170000,	168000,	172000,	120000,	126000,	123000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2025,	Customer Success,	Onboarding,	145000,	142000,	147000,	110000,	115000,	113000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2025,	Product,	Product Management,	0,	0,	0,	210000,	218000,	214000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2025,	Product,	UX,	0,	0,	0,	135000,	142000,	138000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2025,	Engineering,	Backend,	0,	0,	0,	300000,	315000,	308000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2025,	Engineering,	Frontend,	0,	0,	0,	255000,	266000,	260000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2025,	Engineering,	DevOps,	0,	0,	0,	225000,	236000,	230000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2025,	G&A,	HR,	0,	0,	0,	105000,	110000,	108000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2025,	G&A,	Finance,	0,	0,	0,	125000,	131000,	128000																																																																																																																																																																																																																																																																																																																																																															
Jan,	2025,	G&A,	Legal,	0,	0,	0,	90000,	94000,	92000																																																																																																																																																																																																																																																																																																																																																															
																																																																																																																																																																																																																																																																																																																																																																								
Feb,	2025,	Sales,	Field Sales,	660000,	655000,	670000,	252000,	264000,	258000																																																																																																																																																																																																																																																																																																																																																															
Feb,	2025,	Sales,	Inside Sales,	490000,	485000,	495000,	167000,	172000,	169000																																																																																																																																																																																																																																																																																																																																																															
Feb,	2025,	Sales,	Sales Ops,	142000,	140000,	144000,	83000,	87000,	85000																																																																																																																																																																																																																																																																																																																																																															
Feb,	2025,	Marketing,	Digital,	265000,	270000,	268000,	192000,	200000,	195000																																																																																																																																																																																																																																																																																																																																																															
